"LOCATION","Country","VAR","Variable","EDI","Edition","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1974-12","Dec-1974","IDX","Index","0","Units",,,31.13,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1975-01","Jan-1975","IDX","Index","0","Units",,,30.96,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1975-02","Feb-1975","IDX","Index","0","Units",,,31.54,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1975-03","Mar-1975","IDX","Index","0","Units",,,30.76,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1975-04","Apr-1975","IDX","Index","0","Units",,,30.4,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1975-05","May-1975","IDX","Index","0","Units",,,29.99,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1975-06","Jun-1975","IDX","Index","0","Units",,,29.92,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1975-07","Jul-1975","IDX","Index","0","Units",,,29.86,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1975-08","Aug-1975","IDX","Index","0","Units",,,30.29,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1975-09","Sep-1975","IDX","Index","0","Units",,,29.87,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1975-10","Oct-1975","IDX","Index","0","Units",,,29.72,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1975-11","Nov-1975","IDX","Index","0","Units",,,30.72,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1975-12","Dec-1975","IDX","Index","0","Units",,,31.52,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1976-01","Jan-1976","IDX","Index","0","Units",,,31.08,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1976-02","Feb-1976","IDX","Index","0","Units",,,31.31,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1976-03","Mar-1976","IDX","Index","0","Units",,,31.26,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1976-04","Apr-1976","IDX","Index","0","Units",,,30.92,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1976-05","May-1976","IDX","Index","0","Units",,,32.23,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1976-06","Jun-1976","IDX","Index","0","Units",,,32.1,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1976-07","Jul-1976","IDX","Index","0","Units",,,32.21,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1976-08","Aug-1976","IDX","Index","0","Units",,,32.36,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1976-09","Sep-1976","IDX","Index","0","Units",,,33.12,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1976-10","Oct-1976","IDX","Index","0","Units",,,33.3,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1976-11","Nov-1976","IDX","Index","0","Units",,,32.93,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1976-12","Dec-1976","IDX","Index","0","Units",,,33.33,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1977-01","Jan-1977","IDX","Index","0","Units",,,33.1,,
